id,changed_at,note,old_status,new_status,ticket_id
1,2026-05-14 11:05:46,Initial checks started.,OPEN,IN_PROGRESS,9
2,2026-05-15 15:07:46,Issue resolved successfully.,IN_PROGRESS,RESOLVED,9
3,2026-05-16 05:21:46,Customer case closed.,RESOLVED,CLOSED,9
4,2026-05-22 01:21:26,Ticket is being investigated.,OPEN,IN_PROGRESS,10
5,2026-05-22 16:09:26,Resolution provided to customer.,IN_PROGRESS,RESOLVED,10
6,2026-05-22 22:33:26,Ticket closed after resolution.,RESOLVED,CLOSED,10
7,2025-07-27 12:51:34,Representative started working on the issue.,OPEN,IN_PROGRESS,11
8,2025-07-29 02:03:34,Problem fixed.,IN_PROGRESS,RESOLVED,11
9,2025-07-29 05:45:34,Ticket closed after resolution.,RESOLVED,CLOSED,11
10,2025-07-02 23:37:11,Initial checks started.,OPEN,IN_PROGRESS,12
11,2025-07-04 20:18:11,Issue resolved successfully.,IN_PROGRESS,RESOLVED,12
12,2025-07-06 13:28:11,Customer case closed.,RESOLVED,CLOSED,12
13,2025-10-23 23:28:43,Representative started working on the issue.,OPEN,IN_PROGRESS,13
14,2025-10-24 04:41:43,Problem fixed.,IN_PROGRESS,RESOLVED,13
15,2026-05-17 07:17:38,Representative started working on the issue.,OPEN,IN_PROGRESS,14
16,2026-05-17 22:25:38,Problem fixed.,IN_PROGRESS,RESOLVED,14
17,2026-05-18 05:13:38,Ticket closed after resolution.,RESOLVED,CLOSED,14
18,2025-05-07 01:49:50,Initial checks started.,OPEN,IN_PROGRESS,15
19,2025-05-07 03:32:50,Problem fixed.,IN_PROGRESS,RESOLVED,15
20,2025-07-29 14:53:55,Initial checks started.,OPEN,IN_PROGRESS,16
21,2025-07-30 08:25:55,Issue resolved successfully.,IN_PROGRESS,RESOLVED,16
22,2025-07-30 16:20:55,Customer case closed.,RESOLVED,CLOSED,16
23,2026-04-19 17:42:39,Representative started working on the issue.,OPEN,IN_PROGRESS,17
24,2026-04-20 13:57:39,Waiting for customer response.,IN_PROGRESS,ON_HOLD,17
25,2026-04-19 08:04:48,Representative started working on the issue.,OPEN,IN_PROGRESS,19
26,2026-04-20 14:01:48,Problem fixed.,IN_PROGRESS,RESOLVED,19
27,2025-09-21 02:46:18,Ticket is being investigated.,OPEN,IN_PROGRESS,20
28,2025-09-21 06:41:18,Resolution provided to customer.,IN_PROGRESS,RESOLVED,20
29,2025-09-22 15:56:18,Case completed and closed.,RESOLVED,CLOSED,20
30,2025-04-15 22:20:17,Representative started working on the issue.,OPEN,IN_PROGRESS,21
31,2025-04-17 02:46:17,Resolution provided to customer.,IN_PROGRESS,RESOLVED,21
32,2025-03-20 00:11:31,Representative started working on the issue.,OPEN,IN_PROGRESS,22
33,2025-03-20 12:28:31,Resolution provided to customer.,IN_PROGRESS,RESOLVED,22
34,2025-03-20 17:56:31,Customer case closed.,RESOLVED,CLOSED,22
35,2025-03-15 06:48:38,Ticket is being investigated.,OPEN,IN_PROGRESS,23
36,2025-03-16 08:04:38,Resolution provided to customer.,IN_PROGRESS,RESOLVED,23
37,2025-03-17 12:48:38,Customer case closed.,RESOLVED,CLOSED,23
38,2026-01-15 06:25:45,Ticket is being investigated.,OPEN,IN_PROGRESS,24
39,2026-01-16 20:55:45,Problem fixed.,IN_PROGRESS,RESOLVED,24
40,2026-01-17 07:58:45,Customer case closed.,RESOLVED,CLOSED,24
41,2025-07-23 17:47:29,Representative started working on the issue.,OPEN,IN_PROGRESS,26
42,2025-07-23 22:47:29,Resolution provided to customer.,IN_PROGRESS,RESOLVED,26
43,2025-07-25 11:53:29,Ticket closed after resolution.,RESOLVED,CLOSED,26
44,2025-04-15 23:11:09,Initial checks started.,OPEN,IN_PROGRESS,27
45,2025-04-17 09:11:09,Problem fixed.,IN_PROGRESS,RESOLVED,27
46,2025-04-18 06:10:09,Customer case closed.,RESOLVED,CLOSED,27
47,2025-03-27 05:55:42,Representative started working on the issue.,OPEN,IN_PROGRESS,28
48,2025-03-28 15:26:42,Resolution provided to customer.,IN_PROGRESS,RESOLVED,28
49,2025-03-28 22:06:42,Case completed and closed.,RESOLVED,CLOSED,28
50,2025-04-14 20:38:18,Ticket is being investigated.,OPEN,IN_PROGRESS,29
51,2025-04-16 07:40:18,Resolution provided to customer.,IN_PROGRESS,RESOLVED,29
52,2025-04-17 19:49:18,Case completed and closed.,RESOLVED,CLOSED,29
53,2025-02-02 12:32:39,Initial checks started.,OPEN,IN_PROGRESS,30
54,2025-02-02 23:31:39,Issue resolved successfully.,IN_PROGRESS,RESOLVED,30
55,2025-11-19 11:21:29,Representative started working on the issue.,OPEN,IN_PROGRESS,31
56,2025-11-19 15:15:29,Waiting for field team update.,IN_PROGRESS,ON_HOLD,31
57,2025-12-25 23:05:27,Representative started working on the issue.,OPEN,IN_PROGRESS,32
58,2025-12-26 04:54:27,Resolution provided to customer.,IN_PROGRESS,RESOLVED,32
59,2025-09-03 22:14:08,Ticket is being investigated.,OPEN,IN_PROGRESS,34
60,2025-09-05 09:13:08,Problem fixed.,IN_PROGRESS,RESOLVED,34
61,2025-09-06 09:40:08,Ticket closed after resolution.,RESOLVED,CLOSED,34
62,2026-05-01 06:32:31,Initial checks started.,OPEN,IN_PROGRESS,35
63,2026-05-02 02:07:31,Issue resolved successfully.,IN_PROGRESS,RESOLVED,35
64,2026-05-03 05:49:31,Case completed and closed.,RESOLVED,CLOSED,35
65,2026-04-26 01:16:46,Initial checks started.,OPEN,IN_PROGRESS,36
66,2026-04-26 22:45:46,Resolution provided to customer.,IN_PROGRESS,RESOLVED,36
67,2026-04-28 18:58:46,Customer case closed.,RESOLVED,CLOSED,36
68,2025-05-13 19:38:36,Ticket is being investigated.,OPEN,IN_PROGRESS,37
69,2025-05-14 05:39:36,Issue resolved successfully.,IN_PROGRESS,RESOLVED,37
70,2025-05-15 13:18:36,Ticket closed after resolution.,RESOLVED,CLOSED,37
71,2026-03-24 20:35:00,Representative started working on the issue.,OPEN,IN_PROGRESS,38
72,2026-03-25 11:46:00,Problem fixed.,IN_PROGRESS,RESOLVED,38
