category,sub_category,location_required,default_priority,available_for_new_customer
Internet,No Internet Connection,true,HIGH,false
Internet,Slow Internet,true,MEDIUM,false
Internet,Intermittent Connection,true,HIGH,false
Internet,Fiber Line Failure,true,CRITICAL,false
Internet,DSL Connection Problem,true,HIGH,false
Internet,Wi-Fi Coverage Issue,false,MEDIUM,false
Internet,Internet Activation Failure,false,HIGH,false
Internet,Other,true,MEDIUM,false
Mobile,No Network Coverage,true,HIGH,false
Mobile,Weak Signal,true,MEDIUM,false
Mobile,Mobile Data Not Working,true,HIGH,false
Mobile,Voice Call Failure,true,HIGH,false
Mobile,SMS Delivery Failure,false,LOW,false
Mobile,Roaming Issue,false,MEDIUM,false
Mobile,eSIM Activation Problem,false,MEDIUM,false
Mobile,Other,true,MEDIUM,false
Billing,Incorrect Invoice Amount,false,MEDIUM,false
Billing,Unexpected Charge,false,MEDIUM,false
Billing,Payment Failed,false,MEDIUM,false
Billing,Refund Request,false,LOW,false
Billing,Invoice Not Received,false,LOW,false
Billing,Other,false,MEDIUM,false
Subscription,New Subscription Request,false,LOW,true
Subscription,Subscription Cancellation,false,MEDIUM,false
Subscription,Plan Upgrade,false,LOW,false
Subscription,Plan Downgrade,false,LOW,false
Subscription,Tariff Change Request,false,LOW,true
Subscription,Number Portability,false,MEDIUM,false
Subscription,SIM Activation,false,HIGH,false
Subscription,SIM Replacement,false,MEDIUM,false
Subscription,Other,false,MEDIUM,false
TV,No TV Signal,true,HIGH,false
TV,Missing Channels,true,MEDIUM,false
TV,Poor Picture Quality,true,MEDIUM,false
TV,Decoder Not Working,true,HIGH,false
TV,Subscription Package Issue,false,LOW,false
TV,Other,true,MEDIUM,false
Device,Modem Not Working,true,HIGH,false
Device,Router Configuration,false,MEDIUM,false
Device,ONT Device Failure,true,HIGH,false
Device,SIM Card Not Detected,false,HIGH,false
Device,Device Replacement Request,false,MEDIUM,false
Device,Other,true,MEDIUM,false
Infrastructure,Infrastructure Availability Inquiry,true,LOW,true
Infrastructure,Fiber Infrastructure Request,true,MEDIUM,true
Infrastructure,Cable Damage,true,CRITICAL,false
Infrastructure,Outdoor Equipment Failure,true,CRITICAL,false
Infrastructure,Installation Delay,true,HIGH,true
Infrastructure,Other,true,MEDIUM,false
Account,Password Reset,false,LOW,false
Account,Unable to Login,false,MEDIUM,false
Account,Profile Information Update,false,LOW,false
Account,Identity Verification Issue,false,MEDIUM,false
Account,Other,false,MEDIUM,false
Complaint,Employee Complaint,false,MEDIUM,false
Complaint,Service Quality Complaint,false,MEDIUM,false
Complaint,Repeated Fault Complaint,true,HIGH,false
Complaint,Other,false,MEDIUM,false
Information,Campaign Information,false,LOW,true
Information,Invoice Information,false,LOW,false
Information,Tariff Information,false,LOW,true
Information,General Information Request,false,LOW,true
Information,Other,false,MEDIUM,true
Other,Other,true,MEDIUM,false
